State,month,stringency
IA,Feb-21,43.52
ID,Feb-21,52.78
IL,Feb-21,61.11
IN,Feb-21,54.63
KS,Feb-21,56.94
KY,Feb-21,58.33
LA,Feb-21,65.28
MA,Feb-21,72.22
MD,Feb-21,58.8
ME,Feb-21,55.56
MI,Feb-21,61.11
MN,Feb-21,57.41
MO,Feb-21,51.39
MS,Feb-21,53.24
MT,Feb-21,53.7
NC,Feb-21,73.15
ND,Feb-21,39.81
NE,Feb-21,47.22
NH,Feb-21,49.07
NJ,Feb-21,54.63
NM,Feb-21,71.76
NV,Feb-21,54.63
NY,Feb-21,68.98
OH,Feb-21,58.33
OK,Feb-21,46.3
OR,Feb-21,61.11
PA,Feb-21,54.63
RI,Feb-21,62.04
SC,Feb-21,49.07
SD,Feb-21,43.52
TN,Feb-21,57.87
TX,Feb-21,50.46
UT,Feb-21,43.52
VA,Feb-21,63.89
VT,Feb-21,69.44
WA,Feb-21,62.04
WI,Feb-21,56.02
WV,Feb-21,52.78
WY,Feb-21,66.67
AK,Mar-21,55.09
AL,Mar-21,46.3
AR,Mar-21,50.0
AZ,Mar-21,61.11
CA,Mar-21,58.8
CO,Mar-21,56.02
CT,Mar-21,67.59
DC,Mar-21,61.11
DE,Mar-21,51.85
FL,Mar-21,47.69
GA,Mar-21,51.85
HI,Mar-21,76.85
IA,Mar-21,43.52
ID,Mar-21,50.0
IL,Mar-21,58.33
IN,Mar-21,54.63
KS,Mar-21,54.17
KY,Mar-21,58.33
LA,Mar-21,62.5
MA,Mar-21,69.44
MD,Mar-21,56.02
ME,Mar-21,55.56
MI,Mar-21,61.11
MN,Mar-21,57.41
MO,Mar-21,54.17
MS,Mar-21,53.24
MT,Mar-21,51.85
NC,Mar-21,64.81
ND,Mar-21,39.81
NE,Mar-21,47.22
NH,Mar-21,49.07
NJ,Mar-21,54.63
NM,Mar-21,66.2
NV,Mar-21,58.33
NY,Mar-21,63.43
OH,Mar-21,54.63
OK,Mar-21,46.3
OR,Mar-21,61.11
PA,Mar-21,43.52
RI,Mar-21,59.26
SC,Mar-21,41.67
SD,Mar-21,41.67
TN,Mar-21,57.87
TX,Mar-21,53.7
UT,Mar-21,39.81
VA,Mar-21,54.63
VT,Mar-21,69.44
WA,Mar-21,62.96
WI,Mar-21,56.02
WV,Mar-21,50.93
WY,Mar-21,61.11
AK,Apr-21,53.24
AL,Apr-21,43.52
AR,Apr-21,44.44
AZ,Apr-21,45.83
CA,Apr-21,56.94
CO,Apr-21,56.02
CT,Apr-21,53.7
DC,Apr-21,61.11
DE,Apr-21,49.07
FL,Apr-21,52.31
GA,Apr-21,51.85
HI,Apr-21,71.3
IA,Apr-21,43.52
ID,Apr-21,50.0
IL,Apr-21,51.85
IN,Apr-21,51.85
KS,Apr-21,52.78
KY,Apr-21,58.33
LA,Apr-21,59.72
MA,Apr-21,62.04
MD,Apr-21,50.46
ME,Apr-21,55.56
MI,Apr-21,58.33
MN,Apr-21,54.63
MO,Apr-21,51.39
MS,Apr-21,43.52
MT,Apr-21,48.61
NC,Apr-21,51.85
ND,Apr-21,39.81
NE,Apr-21,43.52
NH,Apr-21,41.67
NJ,Apr-21,47.22
NM,Apr-21,52.31
NV,Apr-21,58.33
NY,Apr-21,58.33
OH,Apr-21,54.63
OK,Apr-21,46.3
OR,Apr-21,61.11
PA,Apr-21,43.52
RI,Apr-21,59.26
SC,Apr-21,47.22
SD,Apr-21,41.67
TN,Apr-21,53.24
TX,Apr-21,47.69
UT,Apr-21,43.98
VA,Apr-21,51.85
VT,Apr-21,65.74
WA,Apr-21,57.41
WI,Apr-21,56.02
WV,Apr-21,50.93
WY,Apr-21,55.56
